ship_id;Ship;Tier;Class;Nation;Damage Con;Duration;Repair;Repair Duration;Repair %;Smoke;Smoke Duration;Smoke Dispersion Time;Dispersion Radius;Hydro;Hydro Duration;Hydro Range;Radar;Radar Duration;Radar Range;Engine Boost;EB Duration;Speed Increase;DFAA;DFAA Duration;DFAA DPS;MBRB;MBRB Duration;MBRB Effect;TRB;Fighter;Spotter;Hydrophone;Hydrophone Range;Sub Surveillance;SS Range;Enhanced Rudder;Res. Battery
3426694960;Odin TE;8;BB;Germany;3;10 s;2;18 s;36.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;2;120 s;40%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3434526416;BA Arona's Whale;10;SS;Japan;3;15 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;3;8 s;-50%;N/A;N/A;N/A;5;9.0 km;2;6.0 km;N/A;3
3435018064;Kléber TE;10;DD;France;;5 s;2;20 s;10.0 %;3;10 s;5 s;510 m;3;15 s;7.0 km;N/A;;;2;60 s;30%;N/A;;;N/A;;;3;N/A;N/A;N/A;;N/A;;N/A;N/A
3435083760;BA Montana;10;BB;U.S.A.;;20 s;4;28 s;18.5 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3436066800;GQ Johnny;9;DD;U.S.A.;;5 s;N/A;;;3;30 s;127 s;450 m;N/A;;;N/A;;;3;120 s;8%;4;40 s;100%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3436099280;BA Takahashi;9;CA;Japan;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;3;7.0 km;N/A;N/A
3436099408;BA Utnapishtim's Ship;9;CA;France;;5 s;3;28 s;16.8 %;N/A;;;;3;100 s;5.0 km;N/A;;;3;180 s;20%;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3436131792;BA Hovercraft;9;BB;U.S.S.R.;4;20 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3437147600;Kiberpankov;8;CA;U.S.S.R.;;5 s;N/A;;;4;15 s;40 s;600 m;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3437180368;Borodino TE;8;BB;U.S.S.R.;;15 s;6;10 s;15.0 %;N/A;;;;N/A;;;6;15 s;12.0 km;N/A;;;N/A;;;6;8 s;-75%;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3437180656;BA Binah;8;BB;Italy;;15 s;4;28 s;14.0 %;3;60 s;15 s;900 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3437180720;BA Tirpitz;8;BB;Germany;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3437180912;Alabama B;8;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3438196528;München B;7;CA;Germany;;5 s;N/A;;;N/A;;;;3;110 s;5.5 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3445503824;Kléber CLR;10;DD;France;;5 s;N/A;;;N/A;;;;N/A;;;N/A;;;3;180 s;20%;N/A;;;4;15 s;-50%;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3445536112;Brisbane B;10;CA;Commonw.;;5 s;3;20 s;40.0 %;N/A;;;;3;100 s;5.0 km;3;20 s;12.0 km;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3445536208;Komissar;10;CA;U.S.S.R.;;5 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;4;40 s;100%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3445536720;Defence;10;CA;U.K.;;5 s;3;28 s;16.8 %;5;15 s;40 s;600 m;3;100 s;5.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3445536752;Austin;10;CA;U.S.A.;;5 s;4;28 s;18.5 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;4;40 s;50%;;15 s;-75%;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3445569264;Tempesta Nera;10;BB;Italy;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3445569488;Cumberland;10;BB;U.K.;4;10 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3446585136;Roon CLR;9;CA;Germany;;5 s;4;28 s;14.0 %;N/A;;;;3;120 s;6.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3499013840;Suzuya VL;9;CA;Japan;;5 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;3;15 s;-50%;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3509499600;Suzuya Golden;9;CA;Japan;;5 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;3;15 s;-50%;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3511629776;Danu;7;BB;U.K.;;15 s;4;28 s;16.8 %;N/A;;;;2;100 s;4.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3519985360;Suzuya;9;CA;Japan;;5 s;4;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;3;15 s;-50%;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3522082512;ARP Nachi;7;CA;Japan;;5 s;N/A;;;N/A;;;;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;3;6.0 km;N/A;N/A
3522115536;Royal Sovereign;7;BB;U.K.;;15 s;3;14 s;21.0 %;N/A;;;;3;180 s;3.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;3;6.0 km;N/A;N/A
3529422672;Amiral Lartigue;10;CA;France;;5 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;3;180 s;20%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3529455600;Wisconsin;10;BB;U.S.A.;;20 s;4;28 s;18.5 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3530471216;Blücher;9;CA;Germany;;5 s;4;28 s;14.0 %;N/A;;;;3;120 s;6.0 km;N/A;;;3;180 s;15%;3;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3530504176;Georgia;9;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;3;180 s;15%;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3531519792;Wiesbaden;8;CA;Germany;;5 s;N/A;;;3;15 s;69 s;450 m;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3531519984;Protector;8;CA;U.S.A.;;5 s;3;45 s;45.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3532568272;Eastern Dragon;7;CA;Japan;;5 s;N/A;;;N/A;;;;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;3;6.0 km;N/A;N/A
3539384016;I-56 '44;10;SS;Japan;3;15 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;3;8 s;-50%;N/A;N/A;N/A;5;9.0 km;2;6.0 km;N/A;3
3539875632;Georg Hoffmann Golden;10;DD;Germany;;5 s;N/A;;;3;20 s;77 s;450 m;3;120 s;6.0 km;N/A;;;3;180 s;8%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3539875824;Hull;10;DD;U.S.A.;;5 s;3;20 s;20.0 %;N/A;;;;N/A;;;N/A;;;3;120 s;15%;4;40 s;100%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3539907792;Zhuge's Inventions;10;CA;Pan-Asia;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;3;180 s;20%;3;40 s;50%;4;15 s;-50%;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3539908304;Kushiro;10;CA;Japan;;5 s;3;28 s;14.0 %;4;30 s;10 s;450 m;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3539908368;Prins van Oranje Golden;10;CA;Netherlands;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3539941360;Rhode Island;10;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;3;40 s;9.0 km;3;180 s;15%;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3540923600;Nanning;9;DD;Pan-Asia;;5 s;N/A;;;5;30 s;70 s;450 m;N/A;;;N/A;;;3;120 s;8%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540924112;Minegumo;9;DD;Japan;;5 s;N/A;;;3;20 s;93 s;450 m;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540924368;Barfleur;9;DD;U.K.;;5 s;2;10 s;10.0 %;4;30 s;70 s;450 m;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540924400;Johnston;9;DD;U.S.A.;;5 s;N/A;;;3;30 s;127 s;450 m;N/A;;;N/A;;;3;120 s;8%;4;40 s;100%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540956368;Tianjin;9;CA;Pan-Asia;;10 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;5;N/A;;N/A;;N/A;N/A
3540956592;Almirante Oquendo;9;CA;Spain;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3540956624;Kozma Minin;9;CA;U.S.S.R.;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;3;25 s;12.0 km;3;120 s;8%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540956912;Ferrante Gonzaga;9;CA;Italy;;5 s;3;28 s;14.0 %;3;40 s;10 s;510 m;N/A;;;N/A;;;5;40 s;20%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540957008;Le Havre;9;CA;France;;5 s;3;28 s;16.8 %;N/A;;;;3;100 s;5.0 km;N/A;;;3;180 s;20%;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3540957168;Cambridge;9;CA;U.S.A.;;5 s;3;20 s;40.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540989232;Niord;9;BB;Europe;;15 s;4;28 s;16.8 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540989264;Valparaíso;9;BB;Pan-Am.;;15 s;6;8 s;21.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3540989360;Victoria;9;BB;Spain;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;2;30 s;-33%;N/A;3;4;N/A;;N/A;;N/A;N/A
3540989392;Zarya Svobody;9;BB;U.S.S.R.;4;20 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3540989648;Hotaka;9;BB;Japan;;10 s;2;45 s;45.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3540989680;Pilus Posterior;9;BB;Italy;;15 s;4;28 s;14.0 %;3;60 s;15 s;900 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3540989936;Indiana;9;BB;U.S.A.;;25 s;4;28 s;18.5 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3541972176;Ship Smasha;8;DD;Pan-Asia;;5 s;N/A;;;5;30 s;70 s;450 m;N/A;;;N/A;;;3;120 s;8%;4;40 s;50%;N/A;;;3;N/A;N/A;N/A;;N/A;;N/A;N/A
3541972432;Provorny;8;DD;U.S.S.R.;;5 s;2;10 s;10.0 %;N/A;;;;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3541972688;AL Yukikaze;8;DD;Japan;;5 s;N/A;;;3;20 s;89 s;450 m;N/A;;;N/A;;;3;120 s;8%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3541972944;Eskimo;8;DD;U.K.;;5 s;N/A;;;3;20 s;89 s;450 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3542004944;Narai;8;CA;Pan-Asia;;5 s;2;20 s;40.0 %;2;30 s;70 s;450 m;3;110 s;5.5 km;N/A;;;5;90 s;30%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3542005456;ARP Maya;8;CA;Japan;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3542005552;Cross of Dorn;8;CA;Germany;;5 s;N/A;;;N/A;;;;3;120 s;6.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;N/A;;N/A;N/A
3542005712;Érne;8;CA;U.K.;;5 s;3;20 s;40.0 %;3;15 s;106 s;600 m;N/A;;;3;30 s;9.0 km;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3542005744;AL Montpelier;8;CA;U.S.A.;;5 s;N/A;;;N/A;;;;3;100 s;5.0 km;3;30 s;9.0 km;N/A;;;4;40 s;50%;N/A;;;N/A;N/A;4;N/A;;N/A;;N/A;N/A
3542038256;Marcantonio Colonna;8;BB;Italy;;15 s;4;28 s;14.0 %;3;60 s;15 s;900 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3542038512;Tennessee;8;BB;U.S.A.;;20 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;4;40 s;50%;N/A;;;N/A;3;4;N/A;;N/A;;N/A;N/A
3542071248;Theseus;8;CV;U.K.;;30 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;4;N/A;N/A;;N/A;;N/A;N/A
3543053680;Gambia;7;CA;Commonw.;;5 s;2;28 s;14.0 %;6;10 s;40 s;600 m;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3543054032;Southern Dragon;7;CA;Japan;;5 s;N/A;;;N/A;;;;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;3;N/A;N/A;;3;6.0 km;N/A;N/A
3543086544;Arkhangelsk;7;BB;U.S.S.R.;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3543087056;Rodney;7;BB;U.K.;;15 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;3;120 s;15%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3544102736;Montcalm;6;CA;France;;5 s;N/A;;;N/A;;;;3;100 s;4.0 km;N/A;;;N/A;;;3;40 s;50%;4;15 s;-50%;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3545183952;HSF Hiei;5;BB;Japan;;10 s;4;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;4;N/A;;N/A;;N/A;N/A
3549870032;Seal;10;SS;U.K.;3;15 s;N/A;;;N/A;;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;6;6.0 km;;6.0 km;N/A;2
3549870064;Archerfish;10;SS;U.S.A.;5;15 s;2;40 s;20.0 %;N/A;;;;N/A;;;N/A;;;3;120 s;15%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;;6.0 km;N/A;2
3550360880;Ragnar;10;DD;Europe;;5 s;2;14 s;14.0 %;N/A;;;;N/A;;;2;30 s;7.5 km;2;60 s;30%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550360912;La Pampa;10;DD;Pan-Am.;;5 s;2;28 s;14.0 %;3;20 s;97 s;450 m;N/A;;;N/A;;;N/A;;;N/A;;;N/A;;;2;N/A;N/A;N/A;;N/A;;N/A;N/A
3550361328;Alberico da Barbiano;10;DD;Italy;;5 s;N/A;;;4;45 s;10 s;450 m;N/A;;;N/A;;;4;120 s;15%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550361392;Georg Hoffmann;10;DD;Germany;;5 s;N/A;;;3;20 s;77 s;450 m;3;120 s;6.0 km;N/A;;;3;180 s;8%;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550361584;Laffey;10;DD;U.S.A.;;5 s;2;20 s;30.0 %;;80 s;5 s;450 m;N/A;;;N/A;;;N/A;;;4;40 s;200%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550393552;Incheon;10;CA;Pan-Asia;;5 s;3;28 s;14.0 %;3;30 s;70 s;450 m;N/A;;;N/A;;;N/A;;;3;40 s;50%;N/A;;;2;N/A;N/A;N/A;;N/A;;N/A;N/A
3550393648;Svea;10;CA;Europe;;5 s;3;14 s;14.0 %;6;10 s;40 s;600 m;N/A;;;4;15 s;9.0 km;3;60 s;30%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550393808;Sevastopol;10;CA;U.S.S.R.;3;10 s;4;60 s;30.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;4;45 s;20%;4;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550394064;Yari;10;CA;Japan;;5 s;3;28 s;14.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;5;N/A;;N/A;;N/A;N/A
3550394096;Varese;10;CA;Italy;;5 s;3;45 s;45.0 %;N/A;;;;3;100 s;5.0 km;N/A;;;N/A;;;3;40 s;50%;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550394160;Hildebrand;10;CA;Germany;;5 s;3;28 s;14.0 %;N/A;;;;3;120 s;6.0 km;N/A;;;N/A;;;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
3550394192;Brennus;10;CA;France;;5 s;3;28 s;14.0 %;N/A;;;;N/A;;;N/A;;;3;180 s;20%;N/A;;;N/A;;;N/A;N/A;N/A;N/A;;N/A;;N/A;N/A
